key,language,translation
msg_noProf,de,Keine zugewiesenen Professoren
msg_loadStuds,de,Lade Schülerdaten...
msg_loadErr,de,Fehler beim Laden. Bitte versuchen Sie es erneut.
msg_selStud,de,Bitte wählen Sie einen Schüler aus.
msg_noStud,de,Kein Student gefunden.
msg_chooseTest,de,Tests Auswahl:
msg_ctg,de,Catalogue Verwaltung
msg_chosenCtg,de,ausgewählten catalogue
msg_noCtg,de,No catalogue gefunden.
msg_errCreateStud,de,Fehler beim Schüler hinfügen. Please try again.
msg_na,de,Nicht available
pgH_studMgmt,de,Schülerverwaltung
pgH_studSel,de,Schülerauswahl
rpt_selStudRpt,de,Berichte des ausgewählten Schüler: {{name}}
NIV_desc0,de,Vorschule
NIV_desc1,de,1. Klasse
NIV_desc2,de,2. Klasse
NIV_desc3,de,3. Klasse
NIV_desc4,de,4. Klasse
NIV_desc5,de,5. Klasse
nav_Stud,de,Schüler
nav_chooseStud,de,Schüler wählen
nav_chooseConf,de,Konfiguration wählen
nav_chooseCtg,de,Katalog wählen
nav_help,de,Brauchen Sie Hilfe?
pgH_histo,de,Verlauf
pgH_confMgmt,de,PDF-Konfiguration
pgH_ctgMgmt,de,Katalogverwaltung der Tests
pgH_rptMgmt,de,Berichtsverwaltung
pgH_overview,de,Übersicht der laufenden Tests
pgH_PDF,de,Drucken
pgH_iconPDF,de,Drucken mit Piktogrammen
pgH_logout,de,Abmelden
pgH_login,de,Anmelden
nav_menu,de,Menü
nav_chooseRpt,de,Bearbeiten oder Bericht erstellen auswählen
tbH_rptId,de,Berichts-Ref.
tbH_createdAt,de,Erstellt am
hlp_globalHelp,de,Allgemeine Hilfe
hlp_introDescription,de,"Die Bewertungsanwendung ermöglicht die Eingabe der Testergebnisse und die Erstellung der zugehörigen Berichte. Die Berichte können im PDF-Format gespeichert werden, um bei Bedarf gedruckt zu werden. Diese Berichte enthalten Schüler- und Lehrerinformationen, Spinnengrafiken und problematische Testergebnisse."
hlp_accessMenu,de,Zugang zum Menü
hlp_accessMenuDesc,de,"Das Menü kann ausgeklappt werden, indem auf das Symbol oben links geklickt wird."
hlp_statusBar,de,Statusleiste
hlp_statusBarDesc,de,"Die obere Leiste zeigt den Status der laufenden Aktionen an (ausgewählter Schüler, Katalog, Konfiguration oder Bericht). Auf der oberen Leiste werden die noch auszuführenden Schritte vor dem Drucken des Berichts in Gelb angezeigt. Zum Beispiel, wenn kein Schüler ausgewählt ist, wird die Aktion, einen Schüler auszuwählen, gelb angezeigt. Man kann auch über das Menü zur Schülerverwaltung gelangen."
hlp_news,de,Neuigkeiten
hlp_newsDesc,de,Hier sind die neuesten Updates der Anwendung.
btn_close,de,Schließen
hlp_needHelp,de,Brauchen Sie Hilfe?
hlp_wellcomeHelp,de,Willkommen im Hilfebereich
hlp_reportOverview,de,"Berichtszusammenfassung: Der Bericht enthält die Kopfzeile mit dem Logo, dem Testdatum, dem Namen des Schülers, dem Namen des Lehrers und deren Niveau. Das Radar-Diagramm wird basierend auf den von der Anwendungsadministrator festgelegten Schwellenwerten gezeichnet."
hlp_histo,de,Berichtsverlauf
pgH_histo_description,de,Diese Seite ermöglicht das Anzeigen des Verlaufs von Berichten und das Markieren unvollständiger Berichte in Rot.
hlp_refresh_data,de,Daten aktualisieren
pgH_refresh_data_description,de,"Falls einige Berichte nicht angezeigt werden, können Sie sie aktualisieren, um die angezeigten Berichte zu aktualisieren."
hlp_red_reports,de,Rote Berichte
pgH_red_reports_description,de,In Rot angezeigte Berichte müssen erneut bearbeitet werden: Testdaten fehlen.
hlp_expand_icon,de,Erweitern-Symbol
pgH_expand_icon_description,de,"Um den Fortschritt der Tests nach Kategorien anzuzeigen, klicken Sie auf '▲'. Zum Ausblenden klicken Sie auf '▼'."
hlp_studMgmt,de,Schülerverwaltung
pgH_studMgmt_description,de,Erstellen oder auswählen eines Schülers und Berichts.
hlp_filter_students,de,Schüler filtern
pgH_filter_students_description,de,Sie können nach Namen oder Vornamen des Schülers suchen und auch nach Niveau filtern.
hlp_add_student,de,Schüler hinzufügen
pgH_add_student_description,de,"Wenn der Schüler noch nicht in der Datenbank ist, können Sie ihn erstellen."
hlp_select_student,de,Schüler auswählen
pgH_select_student_description,de,Der ausgewählte Schüler wird in einer anderen Farbe hervorgehoben. Es kann nur ein Schüler gleichzeitig ausgewählt werden.
hlp_PDF,de,PDF anzeigen und drucken
pgH_PDF_description,de,"Diese Seite dient zum Anzeigen und Drucken von PDFs mit/ohne Symbolen. Drücken Sie auf Drucken, um zu drucken."
hlp_print,de,Drucken
pgH_print_description,de,Eine PDF-Datei wird für den ausgewählten Bericht mit den auf dem Bildschirm sichtbaren Daten generiert.
hlp_report_first_page,de,Inhalt der ersten Seite des Berichts
pgH_report_first_page_description,de,"Der Bericht enthält die Kopfzeile mit dem Logo, dem Testdatum, dem Namen des Schülers, dem Namen des Lehrers und deren Niveau."
hlp_report_following_pages,de,Inhalt der folgenden Seiten des Berichts
pgH_report_following_pages_description,de,"Der Bericht druckt Fehler in Tests, wenn sie zur Auswahlregel gehören."
hlp_confMgmt,de,Konfigurationsverwaltung
pgH_confMgmt_description,de,"Logos, Kopfzeilennamen und Fußzeilenmeldungen sind vom Administrator konfigurierbar."
hlp_ctgMgmt,de,Testkatalogverwaltung
pgH_ctgMgmt_description,de,Testtypen werden im Testkatalog definiert und sind vollständig vom Administrator konfigurierbar.
hlp_choose_catalogue,de,Katalog wählen
pgH_choose_catalogue_description,de,Wählen Sie einen spezifischen Testkatalog basierend auf der Sektion oder dem Niveau.
hlp_overview,de,Berichtszusammenfassung
pgH_overview_description,de,Diese Seite zeigt die Zusammenfassung des ausgewählten Berichts. Alle Daten des ausgewählten Berichts werden angezeigt.
hlp_page_layout,de,Ausgewähltes Seitenlayout
pgH_page_layout_description,de,"Der Bericht enthält die Kopfzeile mit dem Logo, dem Testdatum und relevanten Daten des Schülers und Lehrers."
hlp_summary_scores,de,Zusammenfassung der Ergebnisse
pgH_summary_scores_description,de,Aggregierte Testergebnisse mit Fortschrittsberechnung basierend auf den konfigurierten Schwellenwerten.
hlp_difficulties_summary,de,Zusammenfassung der aufgetretenen Schwierigkeiten
pgH_difficulties_summary_description,de,Kategorie unter einem Schwellenwert - wird während der Entwicklung definiert.
hlp_rptMgmt,de,Berichtverwaltung
hlp_select_report,de,Bericht auswählen
pgH_select_report_description,de,"Wählen Sie einen bestehenden Bericht zur Bearbeitung oder Neudruck, oder erstellen Sie einen neuen Bericht."
hlp_save_report,de,Bericht speichern
pgH_save_report_description,de,"Der bearbeitete Bericht wird gespeichert. Nach dem Speichern wird die Kategorie von Tests, die unvollständig sind, gelb markiert."
hlp_wellcomeMsg,de,Willkommen! Benutze the Menü um die App zu entdecken.
tab_year,de,Jahr
tab_level,de,Klasse
tab_stage,de,Stufe
tab_subject,de,Fach
tab_desc,de,Beschreibung
msg_manyCtg,de,"Achtung, Sie haben mehr als einen Katalog ausgewählt"
msg_noConf,de,Keine Konfiguration gefunden.
msg_noSelectConf,de,Keine Konfiguration ausgewählt.
msg_load,de,Daten werden geladen...
msg_refresh,de,Daten aktualisieren...
pgH_rptCarousel,de,Testkarussell
tbH_profid,de,Lehrer Ref
tbH_typeTest,de,Testtyp
tbH_ctgTest,de,Testkategorie
tbH_test,de,Test
tbH_score,de,Ergebnis
tbH_MaxScore,de,Maximalergebnis
tbH_Label,de,Etikett
tbH_Desc,de,Beschreibung
pdf_prof,de,Lehrer
pdf_lytChosen,de,Gewähltes Layout
pdf_lytIconeTop,de,Kopfzeilen-Symbol
pdf_lytSchlName,de,Schulname
pdf_lytMsgTop,de,Kopfzeilen-Nachricht
pdf_lytMsgFoot1,de,Fußzeile Nachricht 1
pdf_lytMsgFoot2,de,Fußzeile Nachricht 2
msg_noLyt,de,Keine Druckkonfiguration gefunden.
pgH_select_conf,de,Druckkonfiguration wählen
btn_print,de,PDF drucken
pdf_stdt,de,Schüler
pdf_rptCreatDt,de,Bericht erstellt am
pdf_ChartLabel,de,Fortschritt
msg_loadErrIcon,de,Bildladefehler
pgH_admin,de,Verwaltungskonsole
msg_noStdtRpt,de,Kein Testbericht für diesen Schüler gefunden.
msg_noRpt,de,Kein Bericht verfügbar.
pdf_UpdDt,de,Änderungsdatum
tbH_Seuil1,de,Schwelle 1
tbH_Seuil2,de,Schwelle 2
tbH_Seuil3,de,Schwelle 3
nav_back,de,Zurück
nav_next,de,Weiter
nav_page,de,Seite
nav_of,de,von
tbH_detailRptPb,de,Detaillierter Bericht über aufgetretene Schwierigkeiten
tbH_scoreTotal,de,Gesamtergebnis
tbH_icon,de,Symbol
tbH_compet,de,Erworbene Kompetenz
tbH_CatalogTest,de,Testkatalog
msg_noUserData,de,Keine Benutzerinformationen verfügbar.
tbH_resultat,de,Ergebnis
msg_err_sav,de,Fehler beim Speichern. Bitte erneut versuchen.
tab_id,de,Kennung
tab_lang,de,Sprache
tab_roles,de,Rollen
btn_rptSelect,de,Diesen Bericht auswählen
btn_show,de,Anzeigen
btn_hide,de,Verbergen
pgH_formStudent,de,"Formular ausfüllen, um einen Schüler hinzuzufügen:"
pgH_summaryScor,de,Ergebnisübersicht
pgH_summaryDifficult,de,Übersicht der Schwierigkeiten
pgH_summaryTest,de,Zusammenfassung der laufenden Tests
lang,de,de
language_list,de,"{""de"": ""Deutsch"", ""fr"": ""Français"",  ""en"": ""English"", ""br"": ""Brezhoneg""}"
